text,topic,author_style,class
"good-natured companionship with me, it was our evening habit to compare the way we bit through our slices, by silently holding them up to each other’s admiration now and then,—which stimulated us to new exertions. To-night, Joe several times invited me, by the display of his fast diminishing slice, to enter upon our usual friendly competition; but he found me, each time, with my yellow mug of tea on one knee, and my untouched bread and butter on the other. At last, I desperately considered that the thing I contemplated must be done, and that it had best be done in the least improbable manner consistent with the",various,Charles Dickens,Human
"circumstances. I took advantage of a moment when Joe had just looked at me, and got my bread and butter down my leg. Joe was evidently made uncomfortable by what he supposed to be my loss of appetite, and took a thoughtful bite out of his slice, which he didn’t seem to enjoy. He turned it about in his mouth much longer than usual, pondering over it a good deal, and after all gulped it down like a pill. He was about to take another bite, and had just got his head on one side for a good purchase on it, when his eye fell on me, and he saw",various,Charles Dickens,Human
"that my bread and butter was gone. The wonder and consternation with which Joe stopped on the threshold of his bite and stared at me, were too evident to escape my sister’s observation. “What’s the matter _now_?” said she, smartly, as she put down her cup. “I say, you know!” muttered Joe, shaking his head at me in very serious remonstrance. “Pip, old chap! You’ll do yourself a mischief. It’ll stick somewhere. You can’t have chawed it, Pip.” “What’s the matter now?” repeated my sister, more sharply than before. “If you can cough any trifle on it up, Pip, I’d recommend you to do",various,Charles Dickens,Human
"it,” said Joe, all aghast. “Manners is manners, but still your elth’s your elth.” By this time, my sister was quite desperate, so she pounced on Joe, and, taking him by the two whiskers, knocked his head for a little while against the wall behind him, while I sat in the corner, looking guiltily on. “Now, perhaps you’ll mention what’s the matter,” said my sister, out of breath, “you staring great stuck pig.” Joe looked at her in a helpless way, then took a helpless bite, and looked at me again. “You know, Pip,” said Joe, solemnly, with his last bite in his cheek,",various,Charles Dickens,Human
"and speaking in a confidential voice, as if we two were quite alone, “you and me is always friends, and I’d be the last to tell upon you, any time. But such a—” he moved his chair and looked about the floor between us, and then again at me—“such a most oncommon Bolt as that!” “Been bolting his food, has he?” cried my sister. “You know, old chap,” said Joe, looking at me, and not at Mrs. Joe, with his bite still in his cheek, “I Bolted, myself, when I was your age—frequent—and as a boy I’ve been among a many Bolters; but I never",various,Charles Dickens,Human
"see your Bolting equal yet, Pip, and it’s a mercy you ain’t Bolted dead.” My sister made a dive at me, and fished me up by the hair, saying nothing more than the awful words, “You come along and be dosed.” Some medical beast had revived Tar-water in those days as a fine medicine, and Mrs. Joe always kept a supply of it in the cupboard; having a belief in its virtues correspondent to its nastiness. At the best of times, so much of this elixir was administered to me as a choice restorative, that I was conscious of going about, smelling like",various,Charles Dickens,Human
"a new fence. On this particular evening the urgency of my case demanded a pint of this mixture, which was poured down my throat, for my greater comfort, while Mrs. Joe held my head under her arm, as a boot would be held in a bootjack. Joe got off with half a pint; but was made to swallow that (much to his disturbance, as he sat slowly munching and meditating before the fire), “because he had had a turn.” Judging from myself, I should say he certainly had a turn afterwards, if he had had none before. Conscience is a dreadful thing when it accuses man or boy; but when, in",various,Charles Dickens,Human
"the case of a boy, that secret burden co-operates with another secret burden down the leg of his trousers, it is (as I can testify) a great punishment. The guilty knowledge that I was going to rob Mrs. Joe—I never thought I was going to rob Joe, for I never thought of any of the housekeeping property as his—united to the necessity of always keeping one hand on my bread and butter as I sat, or when I was ordered about the kitchen on any small errand, almost drove me out of my mind. Then, as the marsh winds made the fire glow and flare, I thought I heard the",various,Charles Dickens,Human
"voice outside, of the man with the iron on his leg who had sworn me to secrecy, declaring that he couldn’t and wouldn’t starve until to-morrow, but must be fed now. At other times, I thought, What if the young man who was with so much difficulty restrained from imbruing his hands in me should yield to a constitutional impatience, or should mistake the time, and should think himself accredited to my heart and liver to-night, instead of to-morrow! If ever anybody’s hair stood on end with terror, mine must have done so then. But, perhaps, nobody’s ever did? It was Christmas Eve, and I had to stir the pudding for next day, with",various,Charles Dickens,Human
"a copper-stick, from seven to eight by the Dutch clock. I tried it with the load upon my leg (and that made me think afresh of the man with the load on _his_ leg), and found the tendency of exercise to bring the bread and butter out at my ankle, quite unmanageable. Happily I slipped away, and deposited that part of my conscience in my garret bedroom. “Hark!” said I, when I had done my stirring, and was taking a final warm in the chimney corner before being sent up to bed; “was that great guns, Joe?” “Ah!” said Joe. “There’s another conwict off.”",various,Charles Dickens,Human
"“What does that mean, Joe?” said I. Mrs. Joe, who always took explanations upon herself, said, snappishly, “Escaped. Escaped.” Administering the definition like Tar-water. While Mrs. Joe sat with her head bending over her needlework, I put my mouth into the forms of saying to Joe, “What’s a convict?” Joe put _his_ mouth into the forms of returning such a highly elaborate answer, that I could make out nothing of it but the single word “Pip.” “There was a conwict off last night,” said Joe, aloud, “after sunset-gun. And they fired warning of him. And now it appears they’re firing warning of another.”",various,Charles Dickens,Human
"“_Who’s_ firing?” said I. “Drat that boy,” interposed my sister, frowning at me over her work, “what a questioner he is. Ask no questions, and you’ll be told no lies.” It was not very polite to herself, I thought, to imply that I should be told lies by her even if I did ask questions. But she never was polite unless there was company. At this point Joe greatly augmented my curiosity by taking the utmost pains to open his mouth very wide, and to put it into the form of a word that looked to me like “sulks.” Therefore, I naturally pointed to",various,Charles Dickens,Human
"Mrs. Joe, and put my mouth into the form of saying, “her?” But Joe wouldn’t hear of that, at all, and again opened his mouth very wide, and shook the form of a most emphatic word out of it. But I could make nothing of the word. “Mrs. Joe,” said I, as a last resort, “I should like to know—if you wouldn’t much mind—where the firing comes from?” “Lord bless the boy!” exclaimed my sister, as if she didn’t quite mean that but rather the contrary. “From the Hulks!” “Oh-h!” said I, looking at Joe. “Hulks!” Joe gave a reproachful cough, as much as to say, “Well, I told you so.”",various,Charles Dickens,Human
"“And please, what’s Hulks?” said I. “That’s the way with this boy!” exclaimed my sister, pointing me out with her needle and thread, and shaking her head at me. “Answer him one question, and he’ll ask you a dozen directly. Hulks are prison-ships, right ’cross th’ meshes.” We always used that name for marshes, in our country. “I wonder who’s put into prison-ships, and why they’re put there?” said I, in a general way, and with quiet desperation. It was too much for Mrs. Joe, who immediately rose. “I tell you what, young fellow,” said she, “I didn’t bring you up by hand to badger",various,Charles Dickens,Human
"people’s lives out. It would be blame to me and not praise, if I had. People are put in the Hulks because they murder, and because they rob, and forge, and do all sorts of bad; and they always begin by asking questions. Now, you get along to bed!” I was never allowed a candle to light me to bed, and, as I went upstairs in the dark, with my head tingling,—from Mrs. Joe’s thimble having played the tambourine upon it, to accompany her last words,—I felt fearfully sensible of the great convenience that the hulks were handy for me. I was clearly on my way there. I had begun by asking",various,Charles Dickens,Human
"questions, and I was going to rob Mrs. Joe. Since that time, which is far enough away now, I have often thought that few people know what secrecy there is in the young under terror. No matter how unreasonable the terror, so that it be terror. I was in mortal terror of the young man who wanted my heart and liver; I was in mortal terror of my interlocutor with the iron leg; I was in mortal terror of myself, from whom an awful promise had been extracted; I had no hope of deliverance through my all-powerful sister, who repulsed me",various,Charles Dickens,Human
"at every turn; I am afraid to think of what I might have done on requirement, in the secrecy of my terror. If I slept at all that night, it was only to imagine myself drifting down the river on a strong spring-tide, to the Hulks; a ghostly pirate calling out to me through a speaking-trumpet, as I passed the gibbet-station, that I had better come ashore and be hanged there at once, and not put it off. I was afraid to sleep, even if I had been inclined, for I knew that at the first faint dawn of morning I must rob",various,Charles Dickens,Human
"the pantry. There was no doing it in the night, for there was no getting a light by easy friction then; to have got one I must have struck it out of flint and steel, and have made a noise like the very pirate himself rattling his chains. As soon as the great black velvet pall outside my little window was shot with grey, I got up and went downstairs; every board upon the way, and every crack in every board calling after me, “Stop thief!” and “Get up, Mrs. Joe!” In the pantry, which was far more abundantly supplied",various,Charles Dickens,Human
"than usual, owing to the season, I was very much alarmed by a hare hanging up by the heels, whom I rather thought I caught, when my back was half turned, winking. I had no time for verification, no time for selection, no time for anything, for I had no time to spare. I stole some bread, some rind of cheese, about half a jar of mincemeat (which I tied up in my pocket-handkerchief with my last night’s slice), some brandy from a stone bottle (which I decanted into a glass bottle I had secretly used for making that intoxicating fluid,",various,Charles Dickens,Human
"Spanish-liquorice-water, up in my room: diluting the stone bottle from a jug in the kitchen cupboard), a meat bone with very little on it, and a beautiful round compact pork pie. I was nearly going away without the pie, but I was tempted to mount upon a shelf, to look what it was that was put away so carefully in a covered earthenware dish in a corner, and I found it was the pie, and I took it in the hope that it was not intended for early use, and would not be missed for some time. There was a door in the kitchen, communicating with the forge; I",various,Charles Dickens,Human
"unlocked and unbolted that door, and got a file from among Joe’s tools. Then I put the fastenings as I had found them, opened the door at which I had entered when I ran home last night, shut it, and ran for the misty marshes. It was a rimy morning, and very damp. I had seen the damp lying on the outside of my little window, as if some goblin had been crying there all night, and using the window for a pocket-handkerchief. Now, I saw the damp lying on the bare hedges and spare grass, like a coarser sort",various,Charles Dickens,Human
"of spiders’ webs; hanging itself from twig to twig and blade to blade. On every rail and gate, wet lay clammy, and the marsh mist was so thick, that the wooden finger on the post directing people to our village—a direction which they never accepted, for they never came there—was invisible to me until I was quite close under it. Then, as I looked up at it, while it dripped, it seemed to my oppressed conscience like a phantom devoting me to the Hulks. The mist was heavier yet when I got out upon the marshes, so that instead of my running at everything, everything seemed to run at me.",various,Charles Dickens,Human
"This was very disagreeable to a guilty mind. The gates and dikes and banks came bursting at me through the mist, as if they cried as plainly as could be, “A boy with somebody else’s pork pie! Stop him!” The cattle came upon me with like suddenness, staring out of their eyes, and steaming out of their nostrils, “Halloa, young thief!” One black ox, with a white cravat on,—who even had to my awakened conscience something of a clerical air,—fixed me so obstinately with his eyes, and moved his blunt head round in such an accusatory manner as I moved",various,Charles Dickens,Human
"round, that I blubbered out to him, “I couldn’t help it, sir! It wasn’t for myself I took it!” Upon which he put down his head, blew a cloud of smoke out of his nose, and vanished with a kick-up of his hind-legs and a flourish of his tail. All this time, I was getting on towards the river; but however fast I went, I couldn’t warm my feet, to which the damp cold seemed riveted, as the iron was riveted to the leg of the man I was running to meet. I knew my way to the Battery, pretty straight, for I had been down there",various,Charles Dickens,Human
"on a Sunday with Joe, and Joe, sitting on an old gun, had told me that when I was ’prentice to him, regularly bound, we would have such Larks there! However, in the confusion of the mist, I found myself at last too far to the right, and consequently had to try back along the river-side, on the bank of loose stones above the mud and the stakes that staked the tide out. Making my way along here with all despatch, I had just crossed a ditch which I knew to be very near the Battery, and had just scrambled up the mound beyond the ditch, when I saw the man",various,Charles Dickens,Human
"sitting before me. His back was towards me, and he had his arms folded, and was nodding forward, heavy with sleep. I thought he would be more glad if I came upon him with his breakfast, in that unexpected manner, so I went forward softly and touched him on the shoulder. He instantly jumped up, and it was not the same man, but another man! And yet this man was dressed in coarse grey, too, and had a great iron on his leg, and was lame, and hoarse, and cold, and was everything that the other man was; except that he had not the same face, and had a flat",various,Charles Dickens,Human
"broad-brimmed low-crowned felt hat on. All this I saw in a moment, for I had only a moment to see it in: he swore an oath at me, made a hit at me,—it was a round weak blow that missed me and almost knocked himself down, for it made him stumble,—and then he ran into the mist, stumbling twice as he went, and I lost him. “It’s the young man!” I thought, feeling my heart shoot as I identified him. I dare say I should have felt a pain in my liver, too, if I had known where it was.",various,Charles Dickens,Human
"I was soon at the Battery after that, and there was the right man,—hugging himself and limping to and fro, as if he had never all night left off hugging and limping,—waiting for me. He was awfully cold, to be sure. I half expected to see him drop down before my face and die of deadly cold. His eyes looked so awfully hungry too, that when I handed him the file and he laid it down on the grass, it occurred to me he would have tried to eat it, if he had not seen my bundle. He did not turn me upside down this time to get at what I had,",various,Charles Dickens,Human
"but left me right side upwards while I opened the bundle and emptied my pockets. “What’s in the bottle, boy?” said he. “Brandy,” said I. He was already handing mincemeat down his throat in the most curious manner,—more like a man who was putting it away somewhere in a violent hurry, than a man who was eating it,—but he left off to take some of the liquor. He shivered all the while so violently, that it was quite as much as he could do to keep the neck of the bottle between his teeth, without biting it off. “I think you have got the ague,” said I.",various,Charles Dickens,Human
"“I’m much of your opinion, boy,” said he. “It’s bad about here,” I told him. “You’ve been lying out on the meshes, and they’re dreadful aguish. Rheumatic too.” “I’ll eat my breakfast afore they’re the death of me,” said he. “I’d do that, if I was going to be strung up to that there gallows as there is over there, directly afterwards. I’ll beat the shivers so far, I’ll bet you.” He was gobbling mincemeat, meatbone, bread, cheese, and pork pie, all at once: staring distrustfully while he did so at the mist all round us, and often stopping—even stopping his jaws—to listen. Some real or",various,Charles Dickens,Human
"fancied sound, some clink upon the river or breathing of beast upon the marsh, now gave him a start, and he said, suddenly,— “You’re not a deceiving imp? You brought no one with you?” “No, sir! No!” “Nor giv’ no one the office to follow you?” “No!” “Well,” said he, “I believe you. You’d be but a fierce young hound indeed, if at your time of life you could help to hunt a wretched warmint hunted as near death and dunghill as this poor wretched warmint is!” Something clicked in his throat as if he had works in him like a clock,",various,Charles Dickens,Human
"and was going to strike. And he smeared his ragged rough sleeve over his eyes. Pitying his desolation, and watching him as he gradually settled down upon the pie, I made bold to say, “I am glad you enjoy it.” “Did you speak?” “I said I was glad you enjoyed it.” “Thankee, my boy. I do.” I had often watched a large dog of ours eating his food; and I now noticed a decided similarity between the dog’s way of eating, and the man’s. The man took strong sharp sudden bites, just like the dog. He swallowed, or rather snapped up, every mouthful, too soon and too fast;",various,Charles Dickens,Human
"and he looked sideways here and there while he ate, as if he thought there was danger in every direction of somebody’s coming to take the pie away. He was altogether too unsettled in his mind over it, to appreciate it comfortably I thought, or to have anybody to dine with him, without making a chop with his jaws at the visitor. In all of which particulars he was very like the dog. “I am afraid you won’t leave any of it for him,” said I, timidly; after a silence during which I had hesitated as to the politeness of making",various,Charles Dickens,Human
"the remark. “There’s no more to be got where that came from.” It was the certainty of this fact that impelled me to offer the hint. “Leave any for him? Who’s him?” said my friend, stopping in his crunching of pie-crust. “The young man. That you spoke of. That was hid with you.” “Oh ah!” he returned, with something like a gruff laugh. “Him? Yes, yes! _He_ don’t want no wittles.” “I thought he looked as if he did,” said I. The man stopped eating, and regarded me with the keenest scrutiny and the greatest surprise. “Looked? When?” “Just now.”",various,Charles Dickens,Human
"“Where?” “Yonder,” said I, pointing; “over there, where I found him nodding asleep, and thought it was you.” He held me by the collar and stared at me so, that I began to think his first idea about cutting my throat had revived. “Dressed like you, you know, only with a hat,” I explained, trembling; “and—and”—I was very anxious to put this delicately—“and with—the same reason for wanting to borrow a file. Didn’t you hear the cannon last night?” “Then there _was_ firing!” he said to himself. “I wonder you shouldn’t have been sure of that,” I returned, “for we",various,Charles Dickens,Human
"heard it up at home, and that’s farther away, and we were shut in besides.” “Why, see now!” said he. “When a man’s alone on these flats, with a light head and a light stomach, perishing of cold and want, he hears nothin’ all night, but guns firing, and voices calling. Hears? He sees the soldiers, with their red coats lighted up by the torches carried afore, closing in round him. Hears his number called, hears himself challenged, hears the rattle of the muskets, hears the orders ‘Make ready! Present! Cover him steady, men!’ and is laid hands on—and there’s nothin’! Why, if I see one pursuing party last night—coming up",various,Charles Dickens,Human
"in order, Damn ’em, with their tramp, tramp—I see a hundred. And as to firing! Why, I see the mist shake with the cannon, arter it was broad day,—But this man”; he had said all the rest, as if he had forgotten my being there; “did you notice anything in him?” “He had a badly bruised face,” said I, recalling what I hardly knew I knew. “Not here?” exclaimed the man, striking his left cheek mercilessly, with the flat of his hand. “Yes, there!” “Where is he?” He crammed what little food was left, into the breast of his grey jacket. “Show me the way he went. I’ll pull him down, like a",various,Charles Dickens,Human
"bloodhound. Curse this iron on my sore leg! Give us hold of the file, boy.” I indicated in what direction the mist had shrouded the other man, and he looked up at it for an instant. But he was down on the rank wet grass, filing at his iron like a madman, and not minding me or minding his own leg, which had an old chafe upon it and was bloody, but which he handled as roughly as if it had no more feeling in it than the file. I was very much afraid of him again, now that he had worked himself",various,Charles Dickens,Human
